country,year,gdp_per_capita_2015_pps_per_person,gdp_per_hour_2015_pps_per_hour,hours_per_worker_annual,workers_per_population_15_74,population_15_74_share_total_population,working_age_source
United States,2000,35162.425292,39.344478,1711.521769,0.711034222,0.734382145,AMECO NPAN1
United States,2001,35161.496201,40.238398,1695.438931,0.700807730,0.735437269,AMECO NPAN1
United States,2002,35434.780970,41.376884,1691.336941,0.687659615,0.736322915,AMECO NPAN1
United States,2003,36090.839998,42.625824,1688.070248,0.679949260,0.737661613,AMECO NPAN1
United States,2004,37144.357977,43.744819,1690.745519,0.678859170,0.739789724,AMECO NPAN1
United States,2005,38083.524913,44.663735,1691.486438,0.679436423,0.741933113,AMECO NPAN1
United States,2006,38773.259448,45.070362,1694.112375,0.682858255,0.743649834,AMECO NPAN1
United States,2007,39175.488163,45.761642,1687.906414,0.680871142,0.744902664,AMECO NPAN1
United States,2008,38856.680218,46.302319,1685.390961,0.667479852,0.745974752,AMECO NPAN1
United States,2009,37514.226843,47.809122,1658.019436,0.633601682,0.746928945,AMECO NPAN1
United States,2010,38207.232674,49.053337,1671.325184,0.623411056,0.747552284,AMECO NPAN1
United States,2011,38494.272372,49.097487,1680.434022,0.623519333,0.748282281,AMECO NPAN1
United States,2012,39068.212039,49.291018,1680.784832,0.629699306,0.748876864,AMECO NPAN1
United States,2013,39489.923954,49.492966,1680.995535,0.633348397,0.749434322,AMECO NPAN1
United States,2014,40077.143807,49.677876,1683.919381,0.638894151,0.749865776,AMECO NPAN1
United States,2015,40840.779372,49.982887,1685.625905,0.646192678,0.750152313,AMECO NPAN1
United States,2016,41202.518119,50.102298,1685.927030,0.650657421,0.749678324,AMECO NPAN1
United States,2017,41836.131699,50.561867,1688.436062,0.654685308,0.748533439,AMECO NPAN1
United States,2018,42823.818153,51.216983,1687.794306,0.662757546,0.747475900,AMECO NPAN1
United States,2019,43701.829021,51.914898,1687.603115,0.665022875,0.750068112,AMECO NPAN1
United States,2020,42621.107151,54.331613,1670.716445,0.623422508,0.753159402,AMECO NPAN1
United States,2021,45152.953858,55.165025,1694.715146,0.640721199,0.753800709,AMECO NPAN1
United States,2022,46036.983031,54.582242,1696.719733,0.660899883,0.752159067,AMECO NPAN1
United States,2023,47003.106377,55.468316,1690.795549,0.668853136,0.749306876,AMECO NPAN1
United States,2024,47888.656093,56.632258,1683.527182,0.670100846,0.749563575,AMECO NPAN1
United States,2025,48632.948301,57.733534,1684.513432,0.667433778,0.749237998,AMECO NPAN1
Germany,2000,29508.842299,41.056477,1469.718225,0.627176816,0.779733896,AMECO NPAN1
Germany,2001,29969.573638,42.050595,1463.189155,0.623882004,0.780738312,AMECO NPAN1
Germany,2002,29878.807757,42.419008,1453.944685,0.619266019,0.782307730,AMECO NPAN1
Germany,2003,29731.078459,42.810243,1447.973047,0.611699192,0.784087592,AMECO NPAN1
Germany,2004,30110.918463,43.183761,1447.503953,0.613115631,0.785672216,AMECO NPAN1
Germany,2005,30421.990050,43.947026,1436.349765,0.612192909,0.787244477,AMECO NPAN1
Germany,2006,31662.152268,44.676254,1455.654628,0.617222250,0.788794304,AMECO NPAN1
Germany,2007,32649.711528,45.154361,1456.423556,0.628450617,0.789988542,AMECO NPAN1
Germany,2008,33032.598911,45.135836,1448.240049,0.638895404,0.790953469,AMECO NPAN1
Germany,2009,31310.024577,43.793464,1407.699249,0.642202737,0.790846291,AMECO NPAN1
Germany,2010,32685.397677,44.794463,1425.715493,0.655054766,0.781302040,AMECO NPAN1
Germany,2011,33917.506961,45.892797,1427.251747,0.671304050,0.771364323,AMECO NPAN1
Germany,2012,34028.090349,46.249569,1406.564196,0.679394411,0.769924886,AMECO NPAN1
Germany,2013,34107.172959,46.429099,1396.293919,0.685707363,0.767255139,AMECO NPAN1
Germany,2014,34746.770354,46.878416,1400.727091,0.692731498,0.763876334,AMECO NPAN1
Germany,2015,35069.271438,47.183692,1403.184211,0.696923230,0.760037801,AMECO NPAN1
Germany,2016,35620.448734,47.822617,1398.166737,0.704650392,0.756020179,AMECO NPAN1
Germany,2017,36540.751140,48.756337,1391.353428,0.715425682,0.752912333,AMECO NPAN1
Germany,2018,36902.214598,48.927877,1384.457618,0.725314289,0.751086858,AMECO NPAN1
Germany,2019,37242.168330,49.265468,1376.146129,0.733052543,0.749363770,AMECO NPAN1
Germany,2020,35736.828685,49.688999,1316.905529,0.729069052,0.749087378,AMECO NPAN1
Germany,2021,37193.466334,50.482888,1345.167753,0.730371852,0.749897640,AMECO NPAN1
Germany,2022,37621.379442,50.652635,1348.105423,0.734279271,0.750321778,AMECO NPAN1
Germany,2023,36954.789213,50.049649,1343.235470,0.732191089,0.750746131,AMECO NPAN1
Germany,2024,36670.281907,49.908650,1338.947216,0.730928399,0.750758289,AMECO NPAN1
Germany,2025,36755.055326,50.113819,1336.660185,0.731559127,0.750048142,AMECO NPAN1
France,2000,26726.615815,40.980041,1524.989453,0.579996106,0.737360155,AMECO NPAN1
France,2001,27039.316098,41.681069,1506.080481,0.585012150,0.736281332,AMECO NPAN1
France,2002,27132.904288,42.858725,1472.791800,0.584400915,0.735537453,AMECO NPAN1
France,2003,27206.106603,43.153220,1476.061840,0.581042391,0.735090519,AMECO NPAN1
France,2004,27785.842264,43.633379,1499.370465,0.578141755,0.734617766,AMECO NPAN1
France,2005,28102.416816,44.114187,1500.466295,0.578546971,0.733838543,AMECO NPAN1
France,2006,28669.343008,45.274936,1485.066627,0.581959743,0.732691264,AMECO NPAN1
France,2007,29219.207285,45.097920,1506.332142,0.588128080,0.731339882,AMECO NPAN1
France,2008,29172.022707,44.845116,1512.422604,0.589302074,0.729861169,AMECO NPAN1
France,2009,28207.273541,44.418487,1499.917934,0.581367895,0.728247172,AMECO NPAN1
France,2010,28635.091674,45.026224,1507.337506,0.580392880,0.726943180,AMECO NPAN1
France,2011,29194.668620,45.601371,1512.754903,0.583012183,0.725904435,AMECO NPAN1
France,2012,29110.961647,45.695358,1506.563624,0.583173941,0.725101634,AMECO NPAN1
France,2013,29194.713471,46.423827,1491.117067,0.581174881,0.725679237,AMECO NPAN1
France,2014,29335.518257,46.903140,1482.152297,0.581149375,0.726124748,AMECO NPAN1
France,2015,29517.458346,47.279840,1481.826408,0.580333071,0.725986112,AMECO NPAN1
France,2016,29659.948735,47.248004,1484.420157,0.582261448,0.726293316,AMECO NPAN1
France,2017,30156.980895,48.160610,1468.789793,0.586841865,0.726465749,AMECO NPAN1
France,2018,30514.076563,48.221703,1476.049095,0.589983345,0.726636374,AMECO NPAN1
France,2019,31012.167467,48.473196,1480.466747,0.594430906,0.726993338,AMECO NPAN1
France,2020,28606.612646,48.557565,1367.882545,0.591589349,0.728015083,AMECO NPAN1
France,2021,30435.003331,47.897427,1443.855246,0.603970152,0.728655147,AMECO NPAN1
France,2022,31143.581499,47.160133,1472.194306,0.615874524,0.728343358,AMECO NPAN1
France,2023,31510.944492,47.158320,1476.403018,0.621164831,0.728603595,AMECO NPAN1
France,2024,31802.347536,47.169893,1481.499760,0.624245618,0.729016236,AMECO NPAN1
France,2025,32005.777808,47.861892,1471.509370,0.623359077,0.729016235,AMECO NPAN1
Italy,2000,28609.960056,39.080521,1848.759545,0.509447120,0.777279763,AMECO NPAN1
Italy,2001,29164.690578,39.323704,1847.141317,0.517998362,0.775129818,AMECO NPAN1
Italy,2002,29187.068839,39.097901,1812.354653,0.532937009,0.772890499,AMECO NPAN1
Italy,2003,29049.061625,38.856436,1778.241179,0.545112766,0.771244582,AMECO NPAN1
Italy,2004,29258.573348,39.227666,1780.610105,0.544092635,0.769872830,AMECO NPAN1
Italy,2005,29310.075972,39.407861,1782.596484,0.543544805,0.767618947,AMECO NPAN1
Italy,2006,29718.359047,39.309133,1790.350489,0.551871519,0.765165386,AMECO NPAN1
Italy,2007,29970.079659,39.273196,1797.953730,0.555964581,0.763424371,AMECO NPAN1
Italy,2008,29435.499737,39.021458,1788.091684,0.553624080,0.762014382,AMECO NPAN1
Italy,2009,27712.757600,38.289067,1756.989215,0.541854610,0.760244159,AMECO NPAN1
Italy,2010,28012.387570,39.084174,1758.756191,0.537329006,0.758408627,AMECO NPAN1
Italy,2011,28109.744036,39.355164,1755.940656,0.537399453,0.756916744,AMECO NPAN1
Italy,2012,27156.870812,39.084027,1723.785568,0.533421968,0.755659731,AMECO NPAN1
Italy,2013,26609.924453,39.391008,1706.541096,0.524918092,0.754116173,AMECO NPAN1
Italy,2014,26605.540883,39.432544,1708.641806,0.524938565,0.752242365,AMECO NPAN1
Italy,2015,26881.776046,39.464861,1711.591817,0.530083383,0.750763229,AMECO NPAN1
Italy,2016,27265.883001,39.294788,1714.514172,0.539490339,0.750170290,AMECO NPAN1
Italy,2017,27755.272042,39.494574,1718.323536,0.545066736,0.750331954,AMECO NPAN1
Italy,2018,28043.177870,39.431553,1722.807551,0.549744508,0.750906171,AMECO NPAN1
Italy,2019,28233.360798,39.586868,1715.507805,0.553129055,0.751609500,AMECO NPAN1
Italy,2020,25855.184127,40.882250,1543.549061,0.544677909,0.752233453,AMECO NPAN1
Italy,2021,28309.927368,40.396739,1693.635823,0.550103252,0.752191121,AMECO NPAN1
Italy,2022,29734.889079,40.608120,1731.195225,0.562367406,0.752120203,AMECO NPAN1
Italy,2023,30024.290268,39.742505,1747.551794,0.574690469,0.752234870,AMECO NPAN1
Italy,2024,30273.198434,39.199483,1754.032487,0.585270789,0.752286875,AMECO NPAN1
Italy,2025,30441.762650,38.974632,1754.409032,0.591740432,0.752359959,AMECO NPAN1
Sweden,2000,28472.453777,35.364141,1705.331519,0.649459799,0.726943554,AMECO NPAN1
Sweden,2001,28777.190049,35.610995,1666.809635,0.665790019,0.728183775,AMECO NPAN1
Sweden,2002,29333.742455,36.929721,1638.694245,0.664079718,0.729916711,AMECO NPAN1
Sweden,2003,29782.093747,38.157296,1620.038464,0.658002969,0.732191119,AMECO NPAN1
Sweden,2004,30903.526685,39.390970,1641.853214,0.650509339,0.734553622,AMECO NPAN1
Sweden,2005,31649.692243,40.530563,1634.705473,0.647506170,0.737740161,AMECO NPAN1
Sweden,2006,32923.581131,41.678948,1632.239132,0.653594674,0.740453912,AMECO NPAN1
Sweden,2007,33752.152533,41.724350,1641.191216,0.662713028,0.743750383,AMECO NPAN1
Sweden,2008,33179.024220,40.776359,1644.690275,0.663012839,0.746189453,AMECO NPAN1
Sweden,2009,31499.152576,40.229518,1630.497502,0.641948609,0.748055182,AMECO NPAN1
Sweden,2010,33024.628780,41.549248,1659.976837,0.639429405,0.748824677,AMECO NPAN1
Sweden,2011,33810.601382,41.873491,1661.020639,0.649469093,0.748480019,AMECO NPAN1
Sweden,2012,33428.325999,41.748286,1647.192201,0.650319375,0.747489348,AMECO NPAN1
Sweden,2013,33520.871946,42.044814,1638.072305,0.652818386,0.745551128,AMECO NPAN1
Sweden,2014,33943.606422,42.365852,1638.984874,0.657937563,0.742989039,AMECO NPAN1
Sweden,2015,35063.732730,43.523985,1643.607254,0.661694304,0.740754083,AMECO NPAN1
Sweden,2016,35391.150493,43.258425,1664.235598,0.665119034,0.739111225,AMECO NPAN1
Sweden,2017,35547.491538,43.351882,1654.443508,0.673313444,0.736091452,AMECO NPAN1
Sweden,2018,35758.979805,43.415995,1656.717274,0.677914859,0.733350860,AMECO NPAN1
