country,year,gdp_per_capita_us100,gdp_per_hour_us100,hours_per_worker_us100,workers_per_working_age_us100,working_age_share_us100,working_age_definition,working_age_source
United States,2000,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2001,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2002,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2003,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2004,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2005,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2006,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2007,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2008,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2009,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2010,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2011,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2012,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2013,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2014,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2015,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2016,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2017,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2018,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2019,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2020,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2021,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2022,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2023,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2024,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
United States,2025,100.000000,100.000000,100.000000,100.000000,100.000000,Population aged 15-74,AMECO NPAN1
Germany,2000,83.921521,104.351309,85.872015,88.206277,106.175498,Population aged 15-74,AMECO NPAN1
Germany,2001,85.234068,104.503651,86.301496,89.023277,106.159743,Population aged 15-74,AMECO NPAN1
Germany,2002,84.320566,102.518614,85.964225,90.054150,106.245197,Population aged 15-74,AMECO NPAN1
Germany,2003,82.378461,100.432648,85.776824,89.962476,106.293669,Population aged 15-74,AMECO NPAN1
Germany,2004,81.064582,98.717428,85.613354,90.315585,106.202099,Population aged 15-74,AMECO NPAN1
Germany,2005,79.882285,98.395323,84.916422,90.103045,106.107203,Population aged 15-74,AMECO NPAN1
Germany,2006,81.659764,99.125571,85.924325,90.388048,106.070662,Population aged 15-74,AMECO NPAN1
Germany,2007,83.342194,98.672948,86.285800,92.300963,106.052587,Population aged 15-74,AMECO NPAN1
Germany,2008,85.011377,97.480725,85.929027,95.717556,106.029523,Population aged 15-74,AMECO NPAN1
Germany,2009,83.461735,91.600643,84.902458,101.357486,105.879722,Population aged 15-74,AMECO NPAN1
Germany,2010,85.547671,91.317872,85.304494,105.075898,104.514702,Population aged 15-74,AMECO NPAN1
Germany,2011,88.110529,93.472802,84.933519,107.663711,103.084670,Population aged 15-74,AMECO NPAN1
Germany,2012,87.099175,93.829608,83.684965,107.891879,102.810612,Population aged 15-74,AMECO NPAN1
Germany,2013,86.369305,93.809490,83.063511,108.267009,102.377902,Population aged 15-74,AMECO NPAN1
Germany,2014,86.699717,94.364774,83.182551,108.426646,101.868409,Population aged 15-74,AMECO NPAN1
Germany,2015,85.868272,94.399693,83.244106,107.850685,101.317798,Population aged 15-74,AMECO NPAN1
Germany,2016,86.452116,95.449947,82.931628,108.298218,100.845944,Population aged 15-74,AMECO NPAN1
Germany,2017,87.342566,96.429068,82.404863,109.277797,100.584996,Population aged 15-74,AMECO NPAN1
Germany,2018,86.172173,95.530571,82.027627,109.438858,100.483087,Population aged 15-74,AMECO NPAN1
Germany,2019,85.218786,94.896589,81.544417,110.229673,99.906096,Population aged 15-74,AMECO NPAN1
Germany,2020,83.847725,91.455041,78.822803,116.946219,99.459341,Population aged 15-74,AMECO NPAN1
Germany,2021,82.372167,91.512490,79.374269,113.992147,99.482215,Population aged 15-74,AMECO NPAN1
Germany,2022,81.719906,92.800575,79.453630,111.102951,99.755731,Population aged 15-74,AMECO NPAN1
Germany,2023,78.622015,90.231059,79.443991,109.469635,100.192078,Population aged 15-74,AMECO NPAN1
Germany,2024,76.574047,88.127600,79.532260,109.077373,100.159388,Population aged 15-74,AMECO NPAN1
Germany,2025,75.576449,86.801924,79.349927,109.607747,100.108129,Population aged 15-74,AMECO NPAN1
France,2000,76.009023,104.157034,89.101376,81.570772,100.405512,Population aged 15-74,AMECO NPAN1
France,2001,76.900357,103.585310,88.831302,83.476840,100.114770,Population aged 15-74,AMECO NPAN1
France,2002,76.571390,103.581326,87.078557,84.984039,99.893326,Population aged 15-74,AMECO NPAN1
France,2003,75.382304,101.237268,87.440783,85.453787,99.651453,Population aged 15-74,AMECO NPAN1
France,2004,74.805014,99.745250,88.681026,85.163725,99.300888,Population aged 15-74,AMECO NPAN1
France,2005,73.791533,98.769589,88.706966,85.151009,98.908989,Population aged 15-74,AMECO NPAN1
France,2006,73.941019,100.453899,87.660456,85.224091,98.526380,Population aged 15-74,AMECO NPAN1
France,2007,74.585433,98.549611,89.242634,86.378765,98.179255,Population aged 15-74,AMECO NPAN1
France,2008,75.075952,96.852852,89.737197,88.287620,97.839929,Population aged 15-74,AMECO NPAN1
France,2009,75.190870,92.907974,90.464436,91.756053,97.498855,Population aged 15-74,AMECO NPAN1
France,2010,74.946783,91.790340,90.188164,93.099549,97.243122,Population aged 15-74,AMECO NPAN1
France,2011,75.841591,92.879237,90.021678,93.503465,97.009438,Population aged 15-74,AMECO NPAN1
France,2012,74.513166,92.705242,89.634532,92.611495,96.825215,Population aged 15-74,AMECO NPAN1
France,2013,73.929526,93.798838,88.704404,91.762272,96.830265,Population aged 15-74,AMECO NPAN1
France,2014,73.197627,94.414544,88.018008,90.961762,96.833963,Population aged 15-74,AMECO NPAN1
France,2015,72.274474,94.592054,87.909565,89.808054,96.778494,Population aged 15-74,AMECO NPAN1
France,2016,71.985767,94.303069,88.047711,89.488175,96.880661,Population aged 15-74,AMECO NPAN1
France,2017,72.083579,95.250855,86.991141,89.637244,97.051876,Population aged 15-74,AMECO NPAN1
France,2018,71.254918,94.151783,87.454324,89.019484,97.212014,Population aged 15-74,AMECO NPAN1
France,2019,70.963088,93.370491,87.726002,89.385032,96.923643,Population aged 15-74,AMECO NPAN1
France,2020,67.118418,89.372582,81.874010,94.893806,96.661488,Population aged 15-74,AMECO NPAN1
France,2021,67.404235,86.825714,85.197518,94.264113,96.664163,Population aged 15-74,AMECO NPAN1
France,2022,67.649050,86.401970,86.767088,93.187265,96.833687,Population aged 15-74,AMECO NPAN1
France,2023,67.040132,85.018482,87.320020,92.870138,97.237009,Population aged 15-74,AMECO NPAN1
France,2024,66.408937,83.291563,87.999753,93.156966,97.258760,Population aged 15-74,AMECO NPAN1
France,2025,65.810893,82.901373,87.355158,93.396393,97.301023,Population aged 15-74,AMECO NPAN1
Italy,2000,81.365150,99.329115,108.018465,71.648748,105.841321,Population aged 15-74,AMECO NPAN1
Italy,2001,82.944965,97.726814,108.947676,73.914476,105.397136,Population aged 15-74,AMECO NPAN1
Italy,2002,82.368419,94.492136,107.155151,77.500117,104.966243,Population aged 15-74,AMECO NPAN1
Italy,2003,80.488738,91.157033,105.341657,80.169624,104.552625,Population aged 15-74,AMECO NPAN1
Italy,2004,78.769899,89.673856,105.315086,80.148087,104.066440,Population aged 15-74,AMECO NPAN1
Italy,2005,76.962613,88.232345,105.386389,79.999362,103.462015,Population aged 15-74,AMECO NPAN1
Italy,2006,76.646533,87.217257,105.680740,80.817873,102.893237,Population aged 15-74,AMECO NPAN1
Italy,2007,76.502122,85.821212,106.519752,81.654890,102.486460,Population aged 15-74,AMECO NPAN1
Italy,2008,75.754026,84.275386,106.093584,82.942441,102.150157,Population aged 15-74,AMECO NPAN1
Italy,2009,73.872661,80.087366,105.969157,85.519756,101.782661,Population aged 15-74,AMECO NPAN1
Italy,2010,73.316976,79.676892,105.231239,86.191767,101.452252,Population aged 15-74,AMECO NPAN1
Italy,2011,73.023186,80.157186,104.493282,86.188098,101.153904,Population aged 15-74,AMECO NPAN1
Italy,2012,69.511425,79.292392,102.558372,84.710585,100.905739,Population aged 15-74,AMECO NPAN1
Italy,2013,67.384086,79.589103,101.519669,82.879833,100.624718,Population aged 15-74,AMECO NPAN1
Italy,2014,66.385821,79.376469,101.468148,82.163620,100.316935,Population aged 15-74,AMECO NPAN1
Italy,2015,65.820918,78.956745,101.540432,82.031784,100.081439,Population aged 15-74,AMECO NPAN1
Italy,2016,66.175283,78.429114,101.695633,82.914653,100.065624,Population aged 15-74,AMECO NPAN1
Italy,2017,66.342826,78.111383,101.770128,83.256296,100.240272,Population aged 15-74,AMECO NPAN1
Italy,2018,65.485001,76.989215,102.074497,82.948057,100.458914,Population aged 15-74,AMECO NPAN1
Italy,2019,64.604529,76.253387,101.653510,83.174441,100.205500,Population aged 15-74,AMECO NPAN1
Italy,2020,60.662864,75.245788,92.388452,87.368984,99.877058,Population aged 15-74,AMECO NPAN1
Italy,2021,62.697841,73.228896,99.936312,85.856883,99.786470,Population aged 15-74,AMECO NPAN1
Italy,2022,64.589135,74.398042,102.031891,85.091164,99.994833,Population aged 15-74,AMECO NPAN1
Italy,2023,63.877247,71.649021,103.356778,85.921772,100.390760,Population aged 15-74,AMECO NPAN1
Italy,2024,63.215803,69.217588,104.187952,87.340703,100.363318,Population aged 15-74,AMECO NPAN1
Italy,2025,62.594936,67.507788,104.149305,88.659048,100.416685,Population aged 15-74,AMECO NPAN1
Sweden,2000,80.974090,89.883367,99.638319,91.340160,98.987095,Population aged 15-74,AMECO NPAN1
Sweden,2001,81.842905,88.500032,98.311393,95.003236,99.013717,Population aged 15-74,AMECO NPAN1
Sweden,2002,82.782345,89.252058,96.887510,96.570993,99.129974,Population aged 15-74,AMECO NPAN1
Sweden,2003,82.519813,89.516853,95.969849,96.772363,99.258401,Population aged 15-74,AMECO NPAN1
Sweden,2004,83.198441,90.047166,97.108240,95.823901,99.292218,Population aged 15-74,AMECO NPAN1
Sweden,2005,83.105995,90.746022,96.643132,95.300480,99.434861,Population aged 15-74,AMECO NPAN1
Sweden,2006,84.913112,92.475289,96.347749,95.714545,99.570238,Population aged 15-74,AMECO NPAN1
Sweden,2007,86.156304,91.177563,97.232358,97.333106,99.845311,Population aged 15-74,AMECO NPAN1
Sweden,2008,85.388211,88.065478,97.585089,99.330764,100.028781,Population aged 15-74,AMECO NPAN1
Sweden,2009,83.965885,84.146114,98.340072,101.317378,100.150782,Population aged 15-74,AMECO NPAN1
Sweden,2010,86.435542,84.702185,99.320997,102.569468,100.170208,Population aged 15-74,AMECO NPAN1
Sweden,2011,87.832811,85.286424,98.844740,104.161821,100.026426,Population aged 15-74,AMECO NPAN1
Sweden,2012,85.564003,84.697553,98.001372,103.274590,99.814720,Population aged 15-74,AMECO NPAN1
Sweden,2013,84.884620,84.951088,97.446559,103.074136,99.481850,Population aged 15-74,AMECO NPAN1
Sweden,2014,84.695672,85.281126,97.331552,102.980683,99.082938,Population aged 15-74,AMECO NPAN1
Sweden,2015,85.854710,87.077772,97.507237,102.398917,98.747157,Population aged 15-74,AMECO NPAN1
Sweden,2016,85.895601,86.340201,98.713383,102.222616,98.590449,Population aged 15-74,AMECO NPAN1
Sweden,2017,84.968400,85.740272,97.986743,102.845357,98.337818,Population aged 15-74,AMECO NPAN1
Sweden,2018,83.502549,84.768748,98.158719,102.287007,98.110302,Population aged 15-74,AMECO NPAN1
Sweden,2019,83.070354,86.059320,97.240013,101.989884,97.329847,Population aged 15-74,AMECO NPAN1
Sweden,2020,82.969918,83.338433,96.591663,106.675232,96.621124,Population aged 15-74,AMECO NPAN1
Sweden,2021,81.916869,84.178088,97.056920,104.188130,96.234222,Population aged 15-74,AMECO NPAN1
Sweden,2022,80.491868,83.544975,96.977118,103.906513,95.613591,Population aged 15-74,Eurostat demo_pjan
Sweden,2023,78.140381,81.185942,97.017038,103.505563,95.847985,Population aged 15-74,Eurostat demo_pjan
Sweden,2024,77.246022,80.586389,97.655553,102.488669,95.772678,Population aged 15-74,Eurostat demo_pjan
Sweden,2025,76.925457,81.050870,96.258410,102.965044,95.759950,Population aged 15-74,Eurostat demo_pjan
Denmark,2000,92.806126,109.630023,85.649233,97.510607,101.361213,Population aged 15-74,AMECO NPAN1
Denmark,2001,93.361508,106.950513,86.663806,99.716659,101.013522,Population aged 15-74,AMECO NPAN1
Denmark,2002,92.747765,104.852644,86.529745,101.462746,100.751618,Population aged 15-74,AMECO NPAN1
Denmark,2003,91.226892,103.512790,86.404840,101.463637,100.526455,Population aged 15-74,AMECO NPAN1
Denmark,2004,90.872424,104.195421,86.323555,100.769641,100.259250,Population aged 15-74,AMECO NPAN1
Denmark,2005,90.462950,103.471861,86.360097,101.181427,100.054025,Population aged 15-74,AMECO NPAN1
Denmark,2006,91.936005,103.793204,86.566789,102.367246,99.954968,Population aged 15-74,AMECO NPAN1
Denmark,2007,91.492490,102.492911,86.031749,103.761881,99.998857,Population aged 15-74,AMECO NPAN1
Denmark,2008,91.317666,99.821590,86.273094,105.939589,100.091377,Population aged 15-74,AMECO NPAN1
Denmark,2009,89.394378,95.719472,86.707683,107.509293,100.185835,Population aged 15-74,AMECO NPAN1
Denmark,2010,88.764164,96.656373,86.365676,105.990152,100.322994,Population aged 15-74,AMECO NPAN1
Denmark,2011,88.890977,96.957109,86.738330,105.260484,100.415695,Population aged 15-74,AMECO NPAN1
Denmark,2012,87.258272,98.177769,85.824141,103.040128,100.502668,Population aged 15-74,AMECO NPAN1
Denmark,2013,87.177997,98.927460,85.896422,101.995533,100.585135,Population aged 15-74,AMECO NPAN1
Denmark,2014,86.534584,100.023709,85.015216,101.150372,100.605705,Population aged 15-74,AMECO NPAN1
Denmark,2015,86.106976,100.516355,84.538218,100.680514,100.647523,Population aged 15-74,AMECO NPAN1
Denmark,2016,87.262863,101.325225,84.786264,100.910901,100.658001,Population aged 15-74,AMECO NPAN1
Denmark,2017,88.009594,102.516148,84.169488,101.313378,100.673751,Population aged 15-74,AMECO NPAN1
Denmark,2018,87.144093,103.227469,82.853655,101.284218,100.597971,Population aged 15-74,AMECO NPAN1
Denmark,2019,86.510242,102.746205,82.309082,102.384637,99.912351,Population aged 15-74,AMECO NPAN1
Denmark,2020,86.934117,99.822859,81.251062,108.066357,99.183788,Population aged 15-74,AMECO NPAN1
Denmark,2021,87.024550,98.829649,83.009579,107.445481,98.727507,Population aged 15-74,AMECO NPAN1
Denmark,2022,84.977926,96.655289,82.855822,107.654945,98.565174,Population aged 15-74,AMECO NPAN1
Denmark,2023,83.148821,95.413195,82.539523,106.818257,98.841703,Population aged 15-74,AMECO NPAN1
Denmark,2024,84.042338,96.256707,82.762393,106.800435,98.778190,Population aged 15-74,AMECO NPAN1
Denmark,2025,84.740489,96.216740,82.591605,108.035265,98.704938,Population aged 15-74,AMECO NPAN1
Finland,2000,76.898646,90.736771,99.381819,83.104639,102.613183,Population aged 15-74,AMECO NPAN1
Finland,2001,78.751529,90.456652,99.444348,85.451097,102.452069,Population aged 15-74,AMECO NPAN1
Finland,2002,79.270199,88.748225,99.301049,87.924177,102.302942,Population aged 15-74,AMECO NPAN1
Finland,2003,79.206139,87.991612,99.163020,88.903205,102.105799,Population aged 15-74,AMECO NPAN1
Finland,2004,79.809447,88.639584,99.128057,89.243431,101.777960,Population aged 15-74,AMECO NPAN1
Finland,2005,79.730207,88.445950,98.505794,90.205585,101.449460,Population aged 15-74,AMECO NPAN1
Finland,2006,81.147241,89.772951,98.117185,91.019641,101.215742,Population aged 15-74,AMECO NPAN1
Finland,2007,84.222762,91.303861,98.331192,92.794186,101.094671,Population aged 15-74,AMECO NPAN1
Finland,2008,85.182050,89.188016,98.251501,96.213950,101.033255,Population aged 15-74,AMECO NPAN1
Finland,2009,80.717420,82.528988,98.599586,98.252890,100.957903,Population aged 15-74,AMECO NPAN1
Finland,2010,81.390835,83.307396,98.179323,98.659418,100.863343,Population aged 15-74,AMECO NPAN1
Finland,2011,82.332748,84.376525,97.183910,99.704695,100.702674,Population aged 15-74,AMECO NPAN1
Finland,2012,79.508620,82.875936,96.441783,98.962353,100.519548,Population aged 15-74,AMECO NPAN1
Finland,2013,77.530877,82.782803,95.984634,97.312049,100.268897,Population aged 15-74,AMECO NPAN1
Finland,2014,75.702575,82.744067,95.515823,95.799100,99.985503,Population aged 15-74,AMECO NPAN1
Finland,2015,74.388526,82.444883,95.343561,94.779645,99.847180,Population aged 15-74,AMECO NPAN1
Finland,2016,75.428163,83.908966,95.267236,94.582775,99.763010,Population aged 15-74,AMECO NPAN1
Finland,2017,76.560007,85.719901,94.744561,94.451178,99.806458,Population aged 15-74,AMECO NPAN1
Finland,2018,75.576743,83.557705,94.707926,95.523844,99.977795,Population aged 15-74,AMECO NPAN1
Finland,2019,74.984525,82.881487,94.091232,96.500226,99.640666,Population aged 15-74,AMECO NPAN1
Finland,2020,74.847260,79.470970,94.570300,100.508930,99.085015,Population aged 15-74,AMECO NPAN1
Finland,2021,72.399847,78.657701,93.105629,100.165454,98.696668,Population aged 15-74,AMECO NPAN1
Finland,2022,71.353121,78.111545,92.126307,100.552149,98.610400,Population aged 15-74,AMECO NPAN1
Finland,2023,68.731587,75.755639,91.681161,100.044801,98.916052,Population aged 15-74,AMECO NPAN1
Finland,2024,67.189267,75.179642,92.229490,98.284872,98.592339,Population aged 15-74,AMECO NPAN1
Finland,2025,66.006819,74.756933,91.511006,97.937089,98.518276,Population aged 15-74,AMECO NPAN1
Netherlands,2000,92.532391,108.815179,86.219176,96.134703,102.593595,Population aged 15-74,AMECO NPAN1
Netherlands,2001,93.976860,107.477137,86.571246,98.679178,102.354196,Population aged 15-74,AMECO NPAN1
Netherlands,2002,92.885086,105.313793,85.876104,100.498900,102.194398,Population aged 15-74,AMECO NPAN1
Netherlands,2003,90.858267,103.539545,85.606434,100.513494,101.982915,Population aged 15-74,AMECO NPAN1
Netherlands,2004,89.745987,102.604053,86.789331,99.130999,101.665757,Population aged 15-74,AMECO NPAN1
Netherlands,2005,89.105259,102.866826,85.962136,99.366490,101.410016,Population aged 15-74,AMECO NPAN1
Netherlands,2006,90.471885,103.575263,85.652724,100.710820,101.260551,Population aged 15-74,AMECO NPAN1
Netherlands,2007,92.817682,103.026740,86.346181,103.124845,101.175257,Population aged 15-74,AMECO NPAN1
Netherlands,2008,95.188184,102.358442,86.674381,106.103463,101.120467,Population aged 15-74,AMECO NPAN1
Netherlands,2009,94.498083,96.919319,87.501211,110.237279,101.081132,Population aged 15-74,AMECO NPAN1
Netherlands,2010,93.527286,96.402955,86.795525,110.623376,101.042421,Population aged 15-74,AMECO NPAN1
Netherlands,2011,94.034588,97.198573,86.439147,110.853809,100.964023,Population aged 15-74,AMECO NPAN1
Netherlands,2012,91.407666,96.729121,85.850725,109.060688,100.928350,Population aged 15-74,AMECO NPAN1
Netherlands,2013,90.140562,97.158645,86.105797,106.752926,100.931478,Population aged 15-74,AMECO NPAN1
Netherlands,2014,89.925635,97.693977,86.641269,105.250011,100.941271,Population aged 15-74,AMECO NPAN1
